Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-n0012-il-1000000
Airfoil,n0012-il
Reynolds number,1000000
Ncrit,9
Mach,0
Max Cl/Cd,75.5962
Max Cl/Cd alpha,7.5
Url,http://airfoiltools.com/polar/csv?polar=xf-n0012-il-1000000
Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-18.500,-1.2258,0.10236,0.09929,-0.0012,1.0000,0.0135
-18.250,-1.2456,0.09505,0.09187,-0.0049,1.0000,0.0136
-18.000,-1.2659,0.08782,0.08451,-0.0086,1.0000,0.0136
-17.750,-1.2852,0.08088,0.07744,-0.0121,1.0000,0.0136
-17.500,-1.3031,0.07429,0.07074,-0.0154,1.0000,0.0137
-17.250,-1.3193,0.06814,0.06446,-0.0185,1.0000,0.0137
-17.000,-1.3322,0.06256,0.05874,-0.0213,1.0000,0.0137
-16.750,-1.3427,0.05745,0.05351,-0.0238,1.0000,0.0138
-16.500,-1.3519,0.05263,0.04856,-0.0261,1.0000,0.0139
-16.250,-1.3687,0.04704,0.04283,-0.0285,1.0000,0.0140
-16.000,-1.3806,0.04234,0.03800,-0.0303,1.0000,0.0142
-15.750,-1.3868,0.03865,0.03420,-0.0313,1.0000,0.0144
-15.500,-1.3879,0.03577,0.03122,-0.0317,1.0000,0.0146
-15.250,-1.3854,0.03348,0.02885,-0.0317,1.0000,0.0148
-15.000,-1.3802,0.03160,0.02690,-0.0313,1.0000,0.0151
-14.750,-1.3739,0.02997,0.02518,-0.0305,1.0000,0.0153
-14.500,-1.3669,0.02849,0.02363,-0.0295,1.0000,0.0156
-14.250,-1.3590,0.02718,0.02223,-0.0283,1.0000,0.0159
-14.000,-1.3502,0.02602,0.02099,-0.0268,1.0000,0.0162
-13.750,-1.3399,0.02502,0.01991,-0.0252,1.0000,0.0164
-13.500,-1.3281,0.02416,0.01896,-0.0236,1.0000,0.0167
-13.250,-1.3149,0.02343,0.01816,-0.0219,1.0000,0.0169
-13.000,-1.3132,0.02207,0.01670,-0.0187,1.0000,0.0174
-12.750,-1.3004,0.02117,0.01576,-0.0169,1.0000,0.0179
-12.500,-1.2834,0.02049,0.01504,-0.0156,1.0000,0.0183
-12.250,-1.2649,0.01988,0.01438,-0.0144,1.0000,0.0188
-12.000,-1.2455,0.01931,0.01376,-0.0134,1.0000,0.0194
-11.750,-1.2250,0.01881,0.01321,-0.0124,1.0000,0.0199
-11.500,-1.2032,0.01839,0.01274,-0.0116,1.0000,0.0203
-11.250,-1.1872,0.01745,0.01175,-0.0101,1.0000,0.0213
-11.000,-1.1666,0.01690,0.01118,-0.0091,1.0000,0.0220
-10.750,-1.1449,0.01645,0.01069,-0.0082,1.0000,0.0228
-10.500,-1.1228,0.01602,0.01023,-0.0074,1.0000,0.0236
-10.250,-1.1000,0.01566,0.00982,-0.0066,1.0000,0.0242
-10.000,-1.0807,0.01499,0.00912,-0.0053,1.0000,0.0255
-9.750,-1.0591,0.01456,0.00868,-0.0043,1.0000,0.0266
-9.500,-1.0368,0.01423,0.00833,-0.0034,1.0000,0.0278
-9.250,-1.0143,0.01395,0.00801,-0.0024,1.0000,0.0288
-9.000,-0.9948,0.01341,0.00747,-0.0010,1.0000,0.0306
-8.750,-0.9735,0.01307,0.00712,0.0002,1.0000,0.0322
-8.500,-0.9517,0.01279,0.00682,0.0014,1.0000,0.0337
-8.250,-0.9313,0.01240,0.00642,0.0027,1.0000,0.0358
-8.000,-0.9104,0.01209,0.00612,0.0040,1.0000,0.0382
-7.750,-0.8888,0.01187,0.00587,0.0052,1.0000,0.0401
-7.500,-0.8687,0.01149,0.00552,0.0067,1.0000,0.0435
-7.250,-0.8475,0.01124,0.00527,0.0080,1.0000,0.0464
