Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-clarky-il-1000000-n5
Airfoil,clarky-il
Reynolds number,1000000
Ncrit,5
Mach,0
Max Cl/Cd,108.543
Max Cl/Cd alpha,6
Url,http://airfoiltools.com/polar/csv?polar=xf-clarky-il-1000000-n5

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-15.500,-1.1702,0.03163,0.02850,-0.0911,1.0000,0.0115
-15.250,-1.1715,0.02989,0.02666,-0.0894,1.0000,0.0118
-15.000,-1.1655,0.02844,0.02510,-0.0880,1.0000,0.0121
-14.750,-1.1582,0.02720,0.02376,-0.0863,1.0000,0.0125
-14.500,-1.1508,0.02610,0.02256,-0.0842,1.0000,0.0128
-14.250,-1.1428,0.02512,0.02148,-0.0819,1.0000,0.0131
-14.000,-1.1202,0.02423,0.02053,-0.0821,0.9986,0.0136
-13.750,-1.0933,0.02347,0.01972,-0.0831,0.9967,0.0141
-13.500,-1.0657,0.02272,0.01891,-0.0840,0.9950,0.0147
-13.250,-1.0381,0.02196,0.01807,-0.0850,0.9934,0.0152
-13.000,-1.0123,0.02121,0.01722,-0.0855,0.9907,0.0157
-12.750,-0.9852,0.02049,0.01639,-0.0862,0.9882,0.0161
-12.500,-0.9573,0.01984,0.01568,-0.0869,0.9858,0.0166
-12.250,-0.9276,0.01939,0.01521,-0.0878,0.9838,0.0170
-12.000,-0.9001,0.01899,0.01478,-0.0882,0.9804,0.0174
-11.750,-0.8733,0.01857,0.01431,-0.0884,0.9762,0.0178
-11.500,-0.8450,0.01815,0.01383,-0.0890,0.9727,0.0183
-11.250,-0.8170,0.01772,0.01334,-0.0894,0.9692,0.0188
-11.000,-0.7918,0.01729,0.01284,-0.0892,0.9634,0.0192
-10.750,-0.7655,0.01683,0.01230,-0.0892,0.9583,0.0195
-10.500,-0.7398,0.01639,0.01177,-0.0890,0.9529,0.0197
-10.250,-0.7151,0.01589,0.01118,-0.0887,0.9463,0.0200
-10.000,-0.6903,0.01534,0.01057,-0.0885,0.9403,0.0205
-9.750,-0.6648,0.01500,0.01019,-0.0882,0.9333,0.0209
-9.500,-0.6389,0.01470,0.00983,-0.0879,0.9264,0.0212
-9.250,-0.6128,0.01441,0.00950,-0.0877,0.9193,0.0215
-9.000,-0.5868,0.01413,0.00915,-0.0874,0.9118,0.0220
-8.750,-0.5608,0.01378,0.00873,-0.0871,0.9043,0.0223
-8.500,-0.5348,0.01345,0.00833,-0.0868,0.8961,0.0227
-8.250,-0.5085,0.01315,0.00796,-0.0866,0.8880,0.0231
-7.750,-0.4558,0.01256,0.00720,-0.0861,0.8706,0.0238
-7.500,-0.4295,0.01224,0.00680,-0.0858,0.8622,0.0240
-7.250,-0.4028,0.01195,0.00643,-0.0856,0.8532,0.0241
-7.000,-0.3770,0.01150,0.00590,-0.0853,0.8448,0.0245
-6.750,-0.3510,0.01107,0.00540,-0.0850,0.8358,0.0249
-6.500,-0.3244,0.01077,0.00504,-0.0848,0.8276,0.0253
-6.250,-0.2975,0.01052,0.00473,-0.0846,0.8189,0.0257
-6.000,-0.2703,0.01031,0.00447,-0.0845,0.8107,0.0262
-5.750,-0.2431,0.01011,0.00422,-0.0843,0.8022,0.0266
-5.500,-0.2158,0.00989,0.00396,-0.0842,0.7939,0.0270
-5.250,-0.1887,0.00970,0.00370,-0.0840,0.7848,0.0275
-5.000,-0.1614,0.00952,0.00346,-0.0838,0.7738,0.0279
-4.750,-0.1342,0.00937,0.00324,-0.0836,0.7622,0.0283
-4.500,-0.1069,0.00923,0.00303,-0.0834,0.7516,0.0287
-4.250,-0.0794,0.00909,0.00284,-0.0833,0.7419,0.0291
-4.000,-0.0518,0.00898,0.00268,-0.0832,0.7320,0.0293
-3.750,-0.0246,0.00882,0.00245,-0.0830,0.7211,0.0300
-3.500,0.0029,0.00866,0.00226,-0.0829,0.7114,0.0309
-3.250,0.0305,0.00854,0.00210,-0.0827,0.7019,0.0319
-3.000,0.0580,0.00846,0.00197,-0.0826,0.6907,0.0329
-2.750,0.0856,0.00838,0.00185,-0.0825,0.6788,0.0340
-2.500,0.1132,0.00833,0.00174,-0.0823,0.6662,0.0349
-2.250,0.1408,0.00828,0.00165,-0.0822,0.6544,0.0358
-2.000,0.1684,0.00822,0.00156,-0.0821,0.6438,0.0386
-1.750,0.1961,0.00815,0.00148,-0.0820,0.6329,0.0423
-1.500,0.2234,0.00804,0.00141,-0.0819,0.6214,0.0602
-1.250,0.2508,0.00798,0.00137,-0.0818,0.6095,0.0762
-1.000,0.2782,0.00793,0.00132,-0.0816,0.5980,0.0919
-0.750,0.3056,0.00785,0.00129,-0.0815,0.5864,0.1132
-0.500,0.3329,0.00777,0.00126,-0.0814,0.5749,0.1433
-0.250,0.3600,0.00770,0.00125,-0.0813,0.5628,0.1790
0.000,0.3870,0.00766,0.00126,-0.0812,0.5493,0.2129
0.250,0.4139,0.00762,0.00128,-0.0810,0.5346,0.2531
0.500,0.4408,0.00759,0.00130,-0.0808,0.5202,0.2930
0.750,0.4677,0.00755,0.00134,-0.0807,0.5063,0.3373
1.000,0.4942,0.00746,0.00138,-0.0805,0.4918,0.4001
1.250,0.5201,0.00731,0.00144,-0.0803,0.4765,0.4975
1.500,0.5449,0.00708,0.00152,-0.0798,0.4599,0.6255
1.750,0.5682,0.00686,0.00162,-0.0789,0.4406,0.7615
2.000,0.5897,0.00675,0.00175,-0.0774,0.4180,0.8711
2.250,0.6146,0.00683,0.00190,-0.0765,0.3958,0.9468
2.500,0.6486,0.00702,0.00201,-0.0778,0.3762,0.9725
2.750,0.6817,0.00721,0.00212,-0.0791,0.3601,0.9846
3.000,0.7147,0.00740,0.00222,-0.0803,0.3467,0.9931
3.250,0.7516,0.00760,0.00235,-0.0824,0.3336,1.0000
3.500,0.7753,0.00780,0.00247,-0.0816,0.3202,1.0000
3.750,0.7996,0.00798,0.00258,-0.0809,0.3084,1.0000
4.000,0.8246,0.00813,0.00270,-0.0803,0.3007,1.0000
4.250,0.8496,0.00829,0.00282,-0.0798,0.2926,1.0000
4.500,0.8748,0.00845,0.00294,-0.0793,0.2843,1.0000
4.750,0.9001,0.00862,0.00307,-0.0788,0.2765,1.0000
5.000,0.9259,0.00876,0.00320,-0.0784,0.2715,1.0000
5.250,0.9518,0.00890,0.00333,-0.0781,0.2658,1.0000
5.500,0.9771,0.00909,0.00349,-0.0776,0.2584,1.0000
5.750,1.0028,0.00925,0.00364,-0.0773,0.2502,1.0000
6.000,1.0279,0.00947,0.00381,-0.0768,0.2402,1.0000
6.250,1.0522,0.00973,0.00401,-0.0762,0.2248,1.0000
6.500,1.0747,0.01014,0.00427,-0.0754,0.1985,1.0000
6.750,1.0958,0.01066,0.00462,-0.0744,0.1687,1.0000
7.000,1.1166,0.01119,0.00500,-0.0733,0.1428,1.0000
7.250,1.1378,0.01169,0.00539,-0.0723,0.1212,1.0000
7.500,1.1593,0.01216,0.00576,-0.0714,0.1046,1.0000
7.750,1.1812,0.01260,0.00612,-0.0705,0.0919,1.0000
8.000,1.2035,0.01298,0.00647,-0.0697,0.0833,1.0000
8.250,1.2259,0.01335,0.00681,-0.0689,0.0759,1.0000
8.500,1.2474,0.01377,0.00719,-0.0680,0.0685,1.0000
8.750,1.2690,0.01416,0.00755,-0.0671,0.0617,1.0000
9.000,1.2892,0.01464,0.00798,-0.0660,0.0525,1.0000
9.250,1.3062,0.01531,0.00855,-0.0644,0.0381,1.0000
9.750,1.3318,0.01691,0.01002,-0.0598,0.0134,1.0000
10.000,1.3485,0.01745,0.01059,-0.0582,0.0121,1.0000
10.250,1.3660,0.01794,0.01112,-0.0568,0.0115,1.0000
10.500,1.3826,0.01849,0.01170,-0.0552,0.0107,1.0000
10.750,1.3980,0.01911,0.01235,-0.0536,0.0100,1.0000
11.000,1.4125,0.01980,0.01308,-0.0519,0.0094,1.0000
11.250,1.4282,0.02043,0.01375,-0.0505,0.0090,1.0000
11.500,1.4429,0.02112,0.01449,-0.0490,0.0087,1.0000
11.750,1.4569,0.02188,0.01530,-0.0474,0.0083,1.0000
12.000,1.4699,0.02273,0.01618,-0.0459,0.0079,1.0000
12.250,1.4819,0.02367,0.01716,-0.0443,0.0076,1.0000
12.500,1.4923,0.02475,0.01831,-0.0427,0.0073,1.0000
12.750,1.5036,0.02580,0.01941,-0.0413,0.0071,1.0000
13.000,1.5150,0.02687,0.02054,-0.0399,0.0069,1.0000
13.250,1.5254,0.02804,0.02177,-0.0387,0.0067,1.0000
