Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-naca23015-il-1000000
Airfoil,naca23015-il
Reynolds number,1000000
Ncrit,9
Mach,0
Max Cl/Cd,90.9524
Max Cl/Cd alpha,10
Url,http://airfoiltools.com/polar/csv?polar=xf-naca23015-il-1000000

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-19.750,-1.2974,0.08215,0.07855,-0.0362,0.9999,0.0175
-19.500,-1.3199,0.07517,0.07144,-0.0396,0.9999,0.0176
-19.250,-1.3391,0.06890,0.06504,-0.0426,0.9999,0.0178
-19.000,-1.3542,0.06338,0.05941,-0.0450,0.9999,0.0180
-18.750,-1.3652,0.05860,0.05453,-0.0469,0.9999,0.0182
-18.500,-1.3730,0.05443,0.05027,-0.0484,0.9999,0.0184
-18.250,-1.3781,0.05074,0.04649,-0.0495,0.9999,0.0186
-18.000,-1.3804,0.04750,0.04316,-0.0502,0.9999,0.0188
-17.750,-1.3807,0.04460,0.04018,-0.0507,0.9999,0.0191
-17.500,-1.3795,0.04198,0.03747,-0.0509,0.9999,0.0194
-17.250,-1.3768,0.03959,0.03499,-0.0509,0.9999,0.0197
-17.000,-1.3727,0.03745,0.03276,-0.0506,0.9999,0.0200
-16.750,-1.3669,0.03557,0.03078,-0.0502,0.9999,0.0203
-16.500,-1.3659,0.03334,0.02847,-0.0495,0.9999,0.0207
-16.250,-1.3627,0.03142,0.02649,-0.0485,0.9999,0.0211
-16.000,-1.3557,0.02993,0.02496,-0.0475,0.9999,0.0216
-15.750,-1.3467,0.02867,0.02365,-0.0463,0.9999,0.0220
-15.500,-1.3364,0.02756,0.02248,-0.0450,0.9999,0.0225
-15.250,-1.3256,0.02654,0.02139,-0.0436,0.9999,0.0231
-15.000,-1.3135,0.02566,0.02044,-0.0421,0.9999,0.0235
-14.750,-1.3082,0.02442,0.01916,-0.0399,0.9999,0.0241
-14.500,-1.2981,0.02356,0.01827,-0.0379,0.9999,0.0247
-14.250,-1.2867,0.02286,0.01754,-0.0359,0.9999,0.0253
-14.000,-1.2754,0.02223,0.01686,-0.0336,0.9999,0.0259
-13.750,-1.2623,0.02167,0.01624,-0.0315,0.9999,0.0265
-13.500,-1.2461,0.02112,0.01563,-0.0299,0.9999,0.0271
-13.250,-1.2316,0.02042,0.01493,-0.0281,0.9999,0.0279
-13.000,-1.2125,0.01997,0.01447,-0.0269,0.9999,0.0286
-12.750,-1.1922,0.01958,0.01405,-0.0257,0.9999,0.0294
-12.500,-1.1709,0.01923,0.01366,-0.0247,0.9999,0.0303
-12.250,-1.1507,0.01876,0.01315,-0.0236,0.9999,0.0311
-12.000,-1.1304,0.01828,0.01268,-0.0225,0.9999,0.0320
